P00027739T0000|0 28|Serum gamma glutamyltransferase
P01431380A0244|164 167|SFGR
P01431809T0000|49 62|polyhedrin gene
P01433524A0788|51 53|IE1
P01438287T0000|48 63|recombinant genes
P01441818T0001|0 14|Interferon type I
P01443047A0773|79 84|Id-SCL
P01446828A1088|114 118|NF-E1
P01447189T0000|45 53|RNK-Met-1
P01448107A0361|61 64|GCN4
P01454518A0336|186 199|human ERCC3 cDNA
P01454819A0000|111 139|ADP-ribosylarginine hydrolases
P01459885A0705|93 98|alpha 1
P01464606A0344|102 132|fibronectin cell-binding fragment
P01468625A0282|23 31|HIS3 cDNAs
P01468625A1080|11 14|ACT1
P01469047A1606|132 156|glutamic acid decarboxylase
P01480183A0000|25 44|human lactoferrin gene
P01485648A0000|139 168|allergen-specific IgE antibodies
P01498607A0000|79 109|parsley chalcone synthase promoter
P01512259A0867|104 110|Dfurin2
P01516829A0460|131 143|lexA operators
P01527020A0511|140 146|rat gene
P01529530T0000|92 116|ISGF3 transcription complex
P01531632A0000|149 157|GAR domain
P01532796A0107|70 89|alpha and beta subunits
P01535242A0557|80 88|c-fms mRNA
P01536153A0574|195 197|IgE
P01536575A1213|174 179|CYPIA1
P01537845A0571|51 59|c-myb gene
P01538403A1058|213 220|TATA-box
P01542565A0220|50 67|ribosomal protein L7
P01542667A0125|156 177|IFN-gamma-encoding gene
P01545523A0000|105 121|antistreptolysin O
P01545787A0345|98 104|NFIL-2B
P01545792A0492|87 95|MLC-2 gene
P01545797A0587|52 55|slk1
P01545806T0000|83 86|MER2
P01545818A0696|3 6|p130
P01545818A0696|159 172|v-Src SH2 domain
P01546522A0000|49 51|PML
P01547942A0120|121 127|CHOP-10
P01548756A1102|72 80|EHS-1 loci
P01549123A0480|86 114|bZIP transcriptional activators
P01549125A0140|35 41|insulin
P01549125A0140|51 65|beta GK promoters
P01549129A0356|121 123|Src
P01549346A0000|3 20|c-Ets-1 oncoprotein
P01551568A1476|79 87|Rif domain
P01552457T0000|96 100|PT-01
P01552853A1377|19 22|virF
P01554334A0000|37 45|IFN-gamma
P01556068A0000|62 77|monoamine oxidase
P01560021A0379|109 115|rat gene
P01560774A0885|60 67|fliA gene
P01569102A0708|31 41|LDL receptor
P01569584A0672|132 146|alpha-type genes
P01569945A0529|3 10|SEN1 gene
P01572549A0000|168 188|growth factor receptors
P01577819A0709|10 29|PRP-precursor alleles
P01584812T0000|89 124|zinc-finger transcription factor NGFI-C
P01588315A0356|111 124|polyhedrin gene
P01588913A0000|20 42|Escherichia coli dnaA gene
P01588961A0000|0 3|STP1
P01588963A1153|77 88|Cdc25 protein
P01588965A0000|0 7|GCR1 gene
P01612085A0624|23 25|EPO
P01615493A0975|80 87|thrombin
P01618027A1108|95 114|wild-type E10 fragment
P01619114A0383|35 38|SMSP
P01624425A0907|0 15|Wild-type protein
P01627828A0475|156 162|SmN gene
P01627830A0000|83 86|CKI2
P01630454A0635|55 66|Act1 promoter
P01633435A0743|91 95|MEF-2
P01633816A0667|183 192|S1 nuclease
P01644751A0590|100 114|msgB gene product
P01645905A0341|134 143|C-terminus
P01646487A0874|73 75|IgA
P01646487A0874|81 83|IgM
P01646487A0874|77 79|IgG
P01647656A0000|18 50|myocardial beta-adrenergic receptor
P01648530A0000|126 161|cardiac actin-beta-globin reporter gene
P01649539T0000|29 43|myeloperoxidase
P01653173A0619|143 160|HPV-18 P105 promoter
P01656220T0000|79 100|receptor tyrosine kinase
P01656221A1319|141 150|FGFR family
P01656235A0946|83 92|CCAAT motif
P01657969A1420|157 166|calmodulin
P01658375A0854|172 180|LAT intron
P01660486A1756|173 175|PKC
P01662807A1182|24 33|TR promoter
P01671675A0905|76 82|CAD gene
P01674242A0358|452 461|interferon
P01674817A0862|25 29|RNA14
P01674817A0862|47 51|RNA14
P01674817T0000|116 127|RNA15 protein
P01675763A1389|37 40|CD4+
P01679749A1171|136 156|HSPG2 proteoglycan gene
P01684791A0000|60 89|chicken glutamine synthetase gene
P01687050T0000|51 53|IgG
P01688841A0430|98 101|virF
P01690728A1166|129 138|S1 nuclease
P01692962A0980|126 152|cAMP-dependent protein kinase
P01694009A0112|68 91|N-terminal signal sequence
P01694525A0000|106 115|N-terminus
P01695098A1116|5 7|IgG
P01695116A0078|45 47|CR1
P01695378A1406|98 105|FKBP mRNA
P01695905A0480|0 8|GLUT5 mRNA
P01697683T0000|52 65|cytotactin gene
P01698761A1059|124 127|AlgP
P01699944A1538|164 173|c-fos genes
P01700272A0838|17 21|B4 RNA
P01701088A1335|77 84|CCAAT box
P01702361A0621|35 42|collagen
P01702426A0196|128 153|avian fatty acid synthase gene
P01703632T0000|80 98|RNA-binding proteins
P01709486A0000|63 67|c-kit
P01709933T0000|67 69|pS1
P01710768A1172|167 181|gamma interferon
P01710979T0000|92 95|p110
P01710979T0000|85 88|p130
P01711041A0348|93 102|beta-chain
P01711041A0962|60 69|beta-chain
P01711048T0000|69 74|COL1A2
P01713213A0000|133 148|human Pim-1 enzyme
P01713213A0488|148 150|GST
P01716292A0000|195 203|H-2E alpha
P01717718A1255|132 139|PR domain
P01717833A1223|102 112|CREB protein
P01718043A0384|48 58|PMN elastase
P01719684A0494|36 60|alpha-adrenergic receptors
P01722479A0302|30 32|HCG
P01725547A0354|96 98|CBF
P01727494A0000|50 59|VV proteins
P01730412T0000|39 43|c-Myc
P01731933T0000a|33 47|T4 gene 32 protein
P01731933T0000b|33 47|T4 gene 32 protein
P01732752A0156|74 79|LT mRNA
P01734020A1318|138 154|wild-type PKC alpha
P01734283A0817|134 138|RAP30
P01734570T0000|9 29|thromboxane synthetase
P01735347A0482|84 95|plasma lipase
P01735447A0271|105 116|sec61 mutants
P01735721A0185|181 184|tyrZ
P01736093A0731|97 106|CCAAT boxes
P01737741A0000|29 44|monoamine oxidase
P01740448A1735|126 136|Pro II region
P01742606A0000|121 146|235 kDa spectrin beta-subunit
P01744042A1355|3 12|csbA fusion
P01748287T0000|0 23|Human SRF-related proteins
P01748292A0000|37 56|G protein alpha subunit
P01748630A0125|59 63|c-Myc
P01748630A0125|165 173|Myc family
P01757341A0591|127 145|alkaline phosphatase
P01762917A0615|80 85|TFIIIA
P01765095A0680|127 134|myogenin
P01765375A0290|163 180|clathrin heavy chain
P01765386A0305|24 34|DNA sequence
P01766876A0000|49 64|mu heavy chain gene
P01767592A0682|91 94|HAP3
P01768648A0853|90 93|cRel
P01772341A0852|79 97|thromboxane receptor
P01772341A0852|45 65|thromboxane synthetase
P01774093T0000|30 32|IgM
P01779433A0694|164 178|Alu family repeat
P01780235A0094|3 5|EPO
P01808136T0000|27 46|coagulation factor XII
P01824944A0988|104 106|IgE
P01825027T0000|85 91|ATPases
P01827068T0000|81 102|T cell receptor alpha gene
P01828248A0189|123 134|UvrAB complex
P01829460A0329|68 80|kappa B element
P01830114A1587|52 64|P4 transcripts
P01833637A0531|155 163|HSP82 gene
P01837787T0000|20 34|full-length cDNA
P01840513A1019|116 147|chloramphenicol acetyltransferase
P01840607A0294|105 107|PFP
P01840608A0823|82 85|nifB
P01844982A0324|72 87|rheumatoid factor
P01845885A1003|292 314|UL26 transcriptional unit
P01845899A0000|114 120|AAV gene
P01846489A1119|54 79|papain-like protease domains
P01846803A0688|138 151|ATP binding site
P01847464A0856|206 210|c-myc
P01848300A0910|33 36|cstA
P01850096A0662|14 21|myogenin
P01850105A1093|12 16|c-myc
P01850105A1093|50 54|c-myc
P01850105A1093|95 96|Id
P01850127A0000|90 105|non-snRNP protein
P01853796T0000|55 61|insulin
P01854339A0221|78 102|ribosome-binding sequences
P01863887A0174|135 141|insulin
P01863887A0174|173 187|clotting factors
P01874195A0139|25 34|GH receptor
P01874752A0948|67 69|p62
P01876836T0000|46 61|GA binding protein
P01883992A0922|95 107|beta-zein gene
P01895384A0746|38 48|IE1 promoter
P01895393A0745|125 148|RNA polymerase III promoter
P01898928A0260|110 131|Escherichia coli fur gene
P01899846A0862|13 26|rbcL-rbcS locus
P01900194T0000|19 55|mitochondrial NADH-ubiquinone reductase
P01901405A0694|42 47|AT-BP2
P01901950T0000|76 89|mouse c-fos gene
P01904154A0164|69 74|Ig loci
P01904437A0000|110 126|DNA binding protein
P01904546A0671|15 33|chromosomal AAR1 gene
P01906509A0072|49 64|human nidogen gene
P01907941A0275|77 86|kappa B site
P01909027A0922|194 198|HNF-3
P01913955A0177|354 361|collagen
P01913955A0177|376 388|type 1 collagen
P01917943A0621a|185 216|chloramphenicol acetyltransferase
P01917943A0621b|185 216|chloramphenicol acetyltransferase
P01917962A0152|168 179|SV40 promoter
P01918010A0000|0 16|Lipoprotein lipase
P01918070A0281|193 195|T3R
P01918073A0150|654 656|TnI
P01918073A0150|260 262|TnI
P01918073A0150|417 419|TnI
P01924315A0158|76 79|SOD1
P01925092A0304|86 111|tissue plasminogen activator
P01930660T0000|26 30|IGF-1
P01931966A0490|19 24|pADPRP
P01931966A0490|44 49|pADPRP
P01936997A0795|89 107|TAR RNA loop sequences
P01939906A0233|20 22|MFP
P01954355A0997|45 47|TNF
P01961996A0522|13 13|R
P01967130A0645|98 120|human DNA binding proteins
P01968043A0908|63 68|pASB-1
P01968224A0119|249 264|C-terminal region
P01970560A1024|206 224|E. coli TyrR repressor
P01977585A0222|121 147|cAMP-dependent protein kinase
P01978834A0076|94 112|K-ATPase beta subunit
P01978857A0504|53 55|CD4
P01982997A1104|182 191|Jun-B mRNAs
P01985924A0554|188 200|pol II delta 4/7
P01986225A0250|31 33|HSF
P01986241A0117|85 92|CUP1 gene
P01989999A0000|31 47|L-aspartate ligase
P01990266A0678|46 50|UHF-1
P01992953T0000|0 22|Alanine aminotransferase
P01993181T0000|78 81|nahG
P01993656A1860|69 101|guanine nucleotide-binding proteins
P01996312A0454|91 100|Dd kinase-2
P01997465A0276|58 65|collagen
P02000093A0794|10 13|La-O
P02002051A0276|89 103|bovine C-subunit
P02002051A0276|27 41|full-length cDNA
P02002051T0000|56 82|cAMP-dependent protein kinase
P02004705A0686|3 14|cdr1 sequence
P02011924A0729|82 90|alpha-IFN
P02016053A0752|66 81|C-terminal region
P02020314A1290|29 34|GM-CSF
P02021630A1104|92 105|guanine N7 sites
P02022188A0112|182 185|HMGs
P02022920A0334|3 15|C4BP alpha gene
P02023421A0343|36 43|collagen
P02024488A0506|67 74|HIV-1 LTR
P02024816A0521|43 46|SP-A
P02026147A0000|123 147|mammalian type II CaM kinases
P02026147A0000|16 25|calmodulin
P02026461A0760|27 30|DRB1
P02029468A0296|5 7|TNF
P02030910A0000|28 40|human ETS1 gene
P02030910A1070|33 40|ETS1 cDNA
P02033038A0309|18 36|human E3 polypeptides
P02034655A1224|3 28|alpha 4 gene 5' flanking region
P02034655T0000|21 46|alpha 4 integrin gene promoter
P02034676A0267|18 30|rhombotin gene
P02036066A0000|57 66|hemoglobin
P02038326A0538|170 179|eIF-2 alpha
P02044950A0258|45 54|U6 RNA genes
P02046202A0625|26 28|IgA
P02052544A0641|130 133|DPB2
P02052592A0000|388 393|GM-CSF
P02055484A0538|50 53|ATG2
P02061282A0447|120 128|pilin gene
P02061333A0784|42 49|acvA gene
P02062116A0688|11 26|monoamine oxidase
P02068085A1273|76 105|Mlu I upstream activation sequence
P02069873X0000|49 58|human locus
P02081463A0110|63 96|Spec1 transcriptional initiation site
P02083199A1175|96 108|wild-type EGFR
P02083230A0938|149 164|C-terminal domain
P02083253A1512|152 185|T-cell-specific transcription factor
P02105497A1092|137 146|HSP70 genes
P02107073A0584|147 151|STE18
P02107548A0727|125 133|human ARF 4
P02110145T0000|131 160|Bacillus cereus beta-lactamase II
P02110148A0423|236 258|entire IF2 structural gene
P02111015A0574|142 146|IRF-2
P02113174A0064|56 77|transcription factor Sp1
P02115122A0562|122 126|c-Fos
P02115122A0562|80 84|c-Fos
P02115572A1323|69 82|U266 lambda gene
P02117799T0000a|16 19|OKT3
P02117799T0000b|16 19|OKT3
P02118525A0737|117 157|herpes simplex virus thymidine kinase promoter
P02121371T0000|62 77|yeast IRA proteins
P02123029A0478|173 186|mu-like isotype
P02123295A0645|12 15|ARF2
P02123467A0811|89 91|Sp1
P02123467A0811|178 180|Sp1
P02123820A0000|19 34|monoamine oxidase
P02123820A0000|74 78|MAO-B
P02123877A1452|203 221|immediate-early gene
P02126504A0602|10 22|Rh-antibodies
P02133731A1572|23 25|CBF
P02138707A0198|238 249|class II genes
P02138915A1060|3 9|p36 gene
P02139473A1603|60 63|entC
P02139891A0532|179 186|CREB site
P02142240A0506|108 127|progesteron receptors
P02143023A0729|124 151|viral terminal repeat sequences
P02144610A1306|265 286|murine TCR beta promoters
P02145195A0253|99 108|Sm proteins
P02145268A0746|143 152|COL3A1 gene
P02153243A0965|76 103|fibroblast growth factor family
P02154602A0092|24 37|mouse Mx protein
P02154686A0185|149 174|polyomavirus enhancer region
P02156828A0164|130 134|actin
P02159470A1432|142 153|nuclear genes
P02160955A0899|39 51|GT-rich region
P02162754A0801|39 42|pp15
P02163347A0472|133 149|human ets-1 protein
P02164585A0814|56 59|traX
P02164588A0266|160 173|HN glycoprotein
P02164604A1574|77 88|BPV-1 mutants
P02164637A0515|150 160|cdc25 mutant
P02166040A0385|462 494|chloroamphenicol acetyltransferase
P02166040A0385|246 277|chloramphenicol acetyltransferase
P02167321T0000|94 141|human tissue-type plasminogen activator gene promoter
P02167467T0000|45 63|bacterial protein L11
P02174427A1574|94 137|wild-type ubiquinol-cytochrome c oxidoreductase
P02174861A0736|154 168|Fur binding sites
P02174974A0000|113 127|xylR gene product
P02176152A0896|114 126|HSV tk promoter
P02176209A0954|32 38|CBF DNAs
P02176822A0000|159 174|glycogen synthase
P02182618A0168|55 86|chloramphenicol acetyltransferase
P02185140A0000|216 220|pPHO5
P02187871T0000|3 11|ANB1 locus
P02188096A0955|46 50|c-myb
P02188096A0955|70 74|c-myb
P02188168A0000|98 116|anti HIV-1 antibodies
P02195025T0000|12 20|yeast LEU2
P02196176A0749|51 55|TREB5
P02200315A0278|85 94|A60 antigen
P02200315A0278|0 2|IgG
P02200736A1003|64 67|AP-4
P02201901A0229|59 69|SSN6 protein
P02201905A1004|50 60|RAP1 protein
P02204029A0184|0 4|RNase
P02204621T0000|52 77|tRNA nucleotidyltransferase
P02204621T0000|105 130|tRNA nucleotidyltransferase
P02204623A0000|124 130|insulin
P02204623A0000|27 41|insulin receptor
P02204625A1130|73 79|insulin
P02204810A1080|12 14|GA2
P02209243A0237|18 29|serum albumin
P02209605A0510|21 28|MSAS gene
P02209811T0000|0 20|Horseradish peroxidase
P02217741T0001|47 53|insulin
P02223773A0000|88 100|actin monomers
P02229282A0454|27 29|TNF
P02233715A0914|169 179|wild-type GR
P02236002A0958|112 130|chicken TCR beta cDNAs
P02236022A0000|16 20|c-myb
P02236064A1178|0 7|S6 kinase
P02237431A0000|134 150|C alpha gene segment
P02237431A0833|69 75|T alpha 2
P02243093A0000|134 141|U3 region
P02243386A0113|68 72|DIssF
P02247069A0261|3 10|TUP1 gene
P02247072A0794|3 25|SUP44 suppressor mutation
P02247081A0223|101 109|VPS34 gene
P02269426A0428|28 30|Tat
P02269426A0428|149 151|Tat
P02278474A0000|5 29|Fibrin Degradation Products
P02280777T0000|43 67|estrogen responsive element
P02289639A0989|15 18|HbA1
P02290216T0001|42 52|serum SPan-1
P02293019A0000|149 159|cathepsin-G
P02294048A0881|68 72|hsp70
P02296509A0997|86 95|p24 antigen
P02298741A0809|104 106|PKC
P02298741A0809|218 238|anti-PKC alpha antibody
P02303158T0000|68 78|trk oncogene
P02307371A0263|86 90|c-myc
P02307850A0000|123 137|serine proteases
P02308496A0000|174 179|GHM-10
P02308496A0000|80 86|insulin
P02317413A0364|68 85|neutrophil elastase
P02318208A0817|158 163|Ad2MLP
P02318208A0817|73 99|transcription initiation site
P02320008A0651|92 110|COOH-terminal region
P02324104A0151|26 57|cAMP-dependent phosphotransferase
P02324104A0516|12 20|C subunits
P02324104A1195|159 168|CeCAT alpha
P02326946T0000|42 45|LCAT
P02333545A0313|22 31|fibrinogen
P02333749A0411|69 86|serum IgE antibodies
P02335713A0905|38 40|PbB
P02340595A0124|93 101|tRNA genes
P02342477A1292|15 18|UTMP
P02342477A1292|233 236|UTMP
P02344529T0000|24 53|recombinant human erythropoietin
P02347407A0217|49 57|SE-sector
P02358975A0709|120 122|IgA
P02362803A0608|56 67|U3 snRNA genes
P02368931A0587|15 17|IgE
P02376023A0307|126 128|IgE
P02376023A0307|51 54|IgG1
P02388685A0577|76 94|alkaline phosphatase
P02391344T0000|31 59|rat NADH-cytochrome b5 reductase
P02403035A0621|55 75|mitochondrial fumarase
P02403926A0000|169 207|N-terminal 41 amino acid activating sequence
P02404451A1532|233 238|GM-CSF
P02405393T0000|61 76|human c-ets-2 gene
P02406570A0466|3 19|ABFI-binding sites
P02417023T0001|6 24|superoxide dismutase
P02423533A1314|162 178|nerve growth factor
P02423850A0292|101 113|yeast CYC1 gene
P02424743A0280|8 9|P2
P02445751A0925|130 139|hem2 mutant
P02466414A0000|42 43|Ep
P02469451A0239|88 92|MAO-B
P02473619A0202|220 232|IgE antibodies
P02473693A0174|35 46|fetal protein
P02473907A1338|109 111|IgE
P02473907A1338|147 167|Fc epsilon R binding site
P02473907A1338|28 30|IgE
P02473907A1338|63 83|Fc epsilon R binding site
P02474110A1039|54 80|angiotensin converting enzyme
P02476664A0563|49 56|human K14
P02482293A1518|40 42|TNF
P02482293A1518|56 81|EGF-R tyrosine protein kinase
P02482293A1518|2 4|TNF
P02483210A0000|58 64|trypsin
P02487898A0315|80 82|NGF
P02487898A0315|4 6|NGF
P02493644A0588|117 134|serum growth factors
P02495745T0000|30 60|tissue-type plasminogen activator
P02496109A0754|23 24|S1
P02496109A0754|295 297|IF1
P02500432A1416|168 174|CAT gene
P02502602A0323|90 99|hemoglobin
P02505087A1037|91 94|GCN4
P02510242A0313|96 100|HBs Ag
P02521674T0000|97 100|nsP4
P02529378A0536|253 258|HIV LTR
P02529378A0536|0 9|S1 nuclease
P02532032A0385|51 55|renin
P02535460A1443|0 13|RNA transcripts
P02538450A0000|81 99|K-ATPase beta subunit
P02541251A1327|187 197|human T1 gene
P02542270A0000|26 40|chloroplast DNAs
P02542612A0530|0 9|S1 nuclease
P02547778A0786|34 67|ANT1 transcriptional control elements
P02549036A0000|41 92|lambda repressor-like transcriptional regulatory protein
P02552143A0748|52 87|chloramphenicol acetyltransferase gene
P02555177A0488|124 131|COX3 gene
P02555519A0798|112 119|H-chains
P02555703T0000|136 140|c-myc
P02555703T0000|107 111|c-myc
P02555703T0000|177 181|v-abl
P02556264A0278|39 49|kappa B motif
P02556264A0278|187 197|kappa B motif
P02556269A0187|105 134|single-strand-specific nuclease
P02559630A0270|101 110|fibrinogen
P02559630A0270|137 146|fibrinogen
P02559630A0270|87 94|thrombin
P02566613T0000|94 112|DNA-binding proteins
P02572777T0000|0 19|Tumour necrosis factor
P02575174A0229|81 86|alpha 1
P02575490A1021|36 52|oIGF-I transcripts
P02576405A0223|128 132|VP-16
P02576405A0223|106 110|VP-16
P02577458A0412|86 109|alpha-adrenergic receptor
P02577458A0412|48 74|angiotensin converting enzyme
P02580830A1131|123 134|mouse AFP gene
P02582918A0000|129 136|anti-HBs
P02582918A0000|85 92|anti-HBs
P02582918A0000|182 183|T2
P02585492A1005|103 112|P1 proteins
P02590869A0743|53 55|IgA
P02590869A0743|47 49|IgG
P02590869A0743|37 39|IgG
P02591078A0000|134 147|OKT6 antibodies
P02591969A0961|52 58|ADH gene
P02595451A1136|115 118|MIC1
P02597549A0964|157 167|prothrombin
P02603923A0220|100 120|epidermal growth factor
P02604420A0234|35 53|reticulin antibodies
P02627159A0899|3 30|antigen-specific IgG4 antibody
P02630543A0210|35 50|anti-T antibodies
P02637597A0362|101 103|IgG
P02637597A0362|83 85|IgM
P02637597A0362|77 79|IgA
P02647918A0588|293 295|TRH
P02648396A1033|55 57|ras
P02648646A0216|0 23|Platelet activating factor
P02648646A0932|150 173|platelet activating factor
P02651487A0000|196 202|insulin
P02657388A1011|63 76|RNA polymerase I
P02668691A0570|89 92|nagD
P02669199A0000|20 22|TNF
P02674141A1202|27 30|CTSE
P02674327A0493|75 88|polyhedrin gene
P02674674A1308|64 74|OBF1 protein
P02674679A1237|12 21|S1 nuclease
P02677002A0205|23 35|mutant enzymes
P02679804A2000|26 29|ura3
P02686588A0592|49 58|hemoglobin
P02686588A0592|77 95|alkaline phosphatase
P02686749A0000|182 202|retinol binding protein
P02689439A0000|71 87|dimeric isoenzymes
P02689439A0402|177 186|rat Yb2 gene
P02691998A0672|128 131|ET-1
P02713994A0482|25 46|anti HSV type 2 antibodies
P02714852T0000|60 71|HLA-B alleles
P02739739T0000|37 62|steroid receptor superfamily
P02743981A0347|181 206|ORF monocistronic transcript
P02744490A0894|54 63|S1 nuclease
P02745444A0391|45 54|S1 nuclease
P02745666A0000|58 59|P4
P02748595A0492|69 81|human ADH-beta
P02758382A0478|171 174|SHBG
P02758382A0478|142 145|SHBG
P02760922A0000|76 101|mammalian hnRNP 40 S particles
P02761008X0000|121 123|ChE
P02761540A0873|46 58|AP-1 sequences
P02763467A0903|259 264|N1L ORF
P02777797A0720|77 97|PtdIns transfer protein
P02778873A0761|105 109|DR-A2
P02778873A0761|108 109|A2
P02780157A0576|81 85|HBsAg
P02780157A0576|276 280|HBsAg
P02781495T0001|9 23|xanthine oxidase
